,site_name,state,country,service_month,invoice_name,submitted_by,status
0,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JAN-2021,Santa Catarina_Brazil_112-JAN-2021,Eszter S.,POSTED
1,Santa Catarina_Brazil_112,Santa Catarina,Brazil,FEB-2021,Santa Catarina_Brazil_112-FEB-2021,Eszter S.,POSTED
2,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAR-2021,Santa Catarina_Brazil_112-MAR-2021,Carlos R.,POSTED
3,Santa Catarina_Brazil_112,Santa Catarina,Brazil,APR-2021,Santa Catarina_Brazil_112-APR-2021,Adam S.,POSTED
4,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAY-2021,Santa Catarina_Brazil_112-MAY-2021,Carlos R.,POSTED
5,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUN-2021,Santa Catarina_Brazil_112-JUN-2021,Adam S.,POSTED
6,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUL-2021,Santa Catarina_Brazil_112-JUL-2021,Carlos R.,POSTED
7,Santa Catarina_Brazil_112,Santa Catarina,Brazil,AUG-2021,Santa Catarina_Brazil_112-AUG-2021,Carlos R.,POSTED
8,Santa Catarina_Brazil_112,Santa Catarina,Brazil,SEP-2021,Santa Catarina_Brazil_112-SEP-2021,Jeff W.,IN-PROCESS
9,Santa Catarina_Brazil_112,Santa Catarina,Brazil,OCT-2021,Santa Catarina_Brazil_112-OCT-2021,Jeff W.,POSTED
10,Santa Catarina_Brazil_112,Santa Catarina,Brazil,NOV-2021,Santa Catarina_Brazil_112-NOV-2021,Jeff W.,POSTED
11,Santa Catarina_Brazil_112,Santa Catarina,Brazil,DEC-2021,Santa Catarina_Brazil_112-DEC-2021,Eszter S.,POSTED
12,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JAN-2022,Santa Catarina_Brazil_112-JAN-2022,Eszter S.,POSTED
13,Santa Catarina_Brazil_112,Santa Catarina,Brazil,FEB-2022,Santa Catarina_Brazil_112-FEB-2022,Adam S.,POSTED
14,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAR-2022,Santa Catarina_Brazil_112-MAR-2022,Carlos R.,POSTED
15,Santa Catarina_Brazil_112,Santa Catarina,Brazil,APR-2022,Santa Catarina_Brazil_112-APR-2022,Eszter S.,POSTED
16,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAY-2022,Santa Catarina_Brazil_112-MAY-2022,Adam S.,POSTED
17,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUN-2022,Santa Catarina_Brazil_112-JUN-2022,Eszter S.,POSTED
18,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUL-2022,Santa Catarina_Brazil_112-JUL-2022,Adam S.,POSTED
19,Santa Catarina_Brazil_112,Santa Catarina,Brazil,AUG-2022,Santa Catarina_Brazil_112-AUG-2022,Carlos R.,POSTED
20,Santa Catarina_Brazil_112,Santa Catarina,Brazil,SEP-2022,Santa Catarina_Brazil_112-SEP-2022,Carlos R.,POSTED
21,Santa Catarina_Brazil_112,Santa Catarina,Brazil,OCT-2022,Santa Catarina_Brazil_112-OCT-2022,Adam S.,POSTED
22,Santa Catarina_Brazil_112,Santa Catarina,Brazil,NOV-2022,Santa Catarina_Brazil_112-NOV-2022,Adam S.,POSTED
23,Santa Catarina_Brazil_112,Santa Catarina,Brazil,DEC-2022,Santa Catarina_Brazil_112-DEC-2022,Jeff W.,POSTED
24,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JAN-2023,Santa Catarina_Brazil_112-JAN-2023,Carlos R.,POSTED
25,Santa Catarina_Brazil_112,Santa Catarina,Brazil,FEB-2023,Santa Catarina_Brazil_112-FEB-2023,Eszter S.,POSTED
26,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAR-2023,Santa Catarina_Brazil_112-MAR-2023,Eszter S.,POSTED
27,Santa Catarina_Brazil_112,Santa Catarina,Brazil,APR-2023,Santa Catarina_Brazil_112-APR-2023,Eszter S.,POSTED
28,Santa Catarina_Brazil_112,Santa Catarina,Brazil,MAY-2023,Santa Catarina_Brazil_112-MAY-2023,Carlos R.,POSTED
29,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUN-2023,Santa Catarina_Brazil_112-JUN-2023,Adam S.,POSTED
30,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JUL-2023,Santa Catarina_Brazil_112-JUL-2023,Jeff W.,POSTED
31,Santa Catarina_Brazil_112,Santa Catarina,Brazil,AUG-2023,Santa Catarina_Brazil_112-AUG-2023,Carlos R.,POSTED
32,Santa Catarina_Brazil_112,Santa Catarina,Brazil,SEP-2023,Santa Catarina_Brazil_112-SEP-2023,Jeff W.,POSTED
33,Santa Catarina_Brazil_112,Santa Catarina,Brazil,OCT-2023,Santa Catarina_Brazil_112-OCT-2023,Carlos R.,POSTED
34,Santa Catarina_Brazil_112,Santa Catarina,Brazil,NOV-2023,Santa Catarina_Brazil_112-NOV-2023,Carlos R.,POSTED
35,Santa Catarina_Brazil_112,Santa Catarina,Brazil,DEC-2023,Santa Catarina_Brazil_112-DEC-2023,Adam S.,POSTED
36,Santa Catarina_Brazil_112,Santa Catarina,Brazil,JAN-2024,Santa Catarina_Brazil_112-JAN-2024,Jeff W.,POSTED
37,Santa Catarina_Brazil_112,Santa Catarina,Brazil,FEB-2024,Santa Catarina_Brazil_112-FEB-2024,Carlos R.,POSTED
